,Period,Province,Product,Quantity
189,201701,KARABÜK,PRODUCT_X,35
190,201701,KARAMAN,PRODUCT_A,30
191,201701,KARAMAN,PRODUCT_B,515
192,201701,KARAMAN,PRODUCT_C,108
193,201701,KARAMAN,PRODUCT_V,3
194,201701,KARAMAN,PRODUCT_X,14
195,201701,KARS,PRODUCT_A,6
196,201701,KARS,PRODUCT_B,52
197,201701,KARS,PRODUCT_C,86
198,201701,KARS,PRODUCT_V,3
199,201701,KARS,PRODUCT_X,9
200,201701,KASTAMONU,PRODUCT_A,37
201,201701,KASTAMONU,PRODUCT_B,395
202,201701,KASTAMONU,PRODUCT_C,244
203,201701,KASTAMONU,PRODUCT_V,0
204,201701,KASTAMONU,PRODUCT_X,25
205,201701,KAYSERİ,PRODUCT_A,104
206,201701,KAYSERİ,PRODUCT_B,2801
207,201701,KAYSERİ,PRODUCT_C,1062
208,201701,KAYSERİ,PRODUCT_V,9
209,201701,KAYSERİ,PRODUCT_X,365
210,201701,KIRIKKALE,PRODUCT_A,5
211,201701,KIRIKKALE,PRODUCT_B,31
212,201701,KIRIKKALE,PRODUCT_C,139
213,201701,KIRIKKALE,PRODUCT_V,0
214,201701,KIRIKKALE,PRODUCT_X,122
215,201701,KIRKLARELİ,PRODUCT_A,27
216,201701,KIRKLARELİ,PRODUCT_B,343
217,201701,KIRKLARELİ,PRODUCT_C,150
218,201701,KIRKLARELİ,PRODUCT_V,8
219,201701,KIRKLARELİ,PRODUCT_X,100
220,201701,KIRŞEHİR,PRODUCT_A,21
221,201701,KIRŞEHİR,PRODUCT_B,483
222,201701,KIRŞEHİR,PRODUCT_C,127
223,201701,KIRŞEHİR,PRODUCT_V,0
224,201701,KIRŞEHİR,PRODUCT_X,54
225,201701,KOCAELİ,PRODUCT_A,275
226,201701,KOCAELİ,PRODUCT_B,2686
227,201701,KOCAELİ,PRODUCT_C,965
228,201701,KOCAELİ,PRODUCT_V,14
229,201701,KOCAELİ,PRODUCT_X,305
230,201701,KONYA,PRODUCT_A,239
231,201701,KONYA,PRODUCT_B,4359
232,201701,KONYA,PRODUCT_C,1512
233,201701,KONYA,PRODUCT_V,2
234,201701,KONYA,PRODUCT_X,523
235,201701,KÜTAHYA,PRODUCT_A,31
236,201701,KÜTAHYA,PRODUCT_B,625
237,201701,KÜTAHYA,PRODUCT_C,244
238,201701,KÜTAHYA,PRODUCT_V,3
239,201701,KÜTAHYA,PRODUCT_X,114
240,201701,KİLİS,PRODUCT_A,11
241,201701,KİLİS,PRODUCT_B,1405
242,201701,KİLİS,PRODUCT_C,26
243,201701,KİLİS,PRODUCT_V,0
244,201701,KİLİS,PRODUCT_X,27
245,201701,MALATYA,PRODUCT_A,52
246,201701,MALATYA,PRODUCT_B,963
247,201701,MALATYA,PRODUCT_C,291
248,201701,MALATYA,PRODUCT_V,5
249,201701,MALATYA,PRODUCT_X,247
250,201701,MANİSA,PRODUCT_A,335
