geoName,hastane randevu,Period
Çankırı,0.5017421602787456,201702
Çorum Province,0.2787456445993031,201702
İstanbul,0.40418118466898956,201702
İzmir,0.45993031358885017,201702
Şanlıurfa Province,0.26480836236933797,201702
Şırnak,0.30662020905923343,201702
Adana,0.23776223776223776,201703
Adıyaman Province,0.26573426573426573,201703
Afyonkarahisar Province,0.6153846153846154,201703
Aksaray,0.4195804195804196,201703
Amasya Province,0.6853146853146853,201703
Ankara,0.43356643356643354,201703
Antalya,0.5454545454545454,201703
Ardahan Province,0.0,201703
Artvin,0.6433566433566433,201703
Aydın Province,0.32167832167832167,201703
Ağrı,0.44755244755244755,201703
Balıkesir Province,0.5594405594405595,201703
Bartın Province,0.27972027972027974,201703
