geoName,BioGaia,Period
Amasya Province,0.0,201901
Ankara,0.43859649122807015,201901
Antalya,0.42105263157894735,201901
Ardahan Province,0.0,201901
Artvin,0.0,201901
Aydın Province,1.280701754385965,201901
Ağrı,0.0,201901
Balıkesir Province,0.0,201901
Bartın Province,0.0,201901
Batman,0.0,201901
Bayburt,0.0,201901
Bilecik,0.0,201901
Bingöl Province,0.0,201901
Bitlis,0.0,201901
Bolu,0.0,201901
Burdur Province,0.0,201901
Bursa,0.3157894736842105,201901
Denizli,0.8947368421052632,201901
Diyarbakır,0.38596491228070173,201901
Düzce Province,0.0,201901
Edirne,0.0,201901
Elazığ,0.0,201901
Erzincan,0.0,201901
Erzurum,1.0350877192982457,201901
Eskişehir Province,1.2456140350877194,201901
Gaziantep,0.49122807017543857,201901
Giresun,0.0,201901
Gümüşhane,0.0,201901
Hakkâri,0.0,201901
Hatay,0.5263157894736842,201901
Isparta Province,1.3859649122807018,201901
Iğdır,0.0,201901
Kahramanmaraş Province,0.8596491228070176,201901
Karabük,0.0,201901
Karaman,0.0,201901
Kars,0.0,201901
Kastamonu,0.0,201901
Kayseri Province,0.45614035087719296,201901
Kilis,0.0,201901
Kocaeli,0.40350877192982454,201901
Konya,0.2982456140350877,201901
Kütahya,0.0,201901
Kırklareli,0.0,201901
Kırıkkale,0.0,201901
Kırşehir,0.0,201901
Malatya,0.0,201901
Manisa,1.3157894736842106,201901
Mardin,0.0,201901
Mersin Province,0.0,201901
Muğla Province,0.0,201901
Muş,0.0,201901
