geoName,üroloji randevu,Period
Kocaeli,0.0,201712
Konya,0.0,201712
Kütahya,0.0,201712
Kırklareli,0.0,201712
Kırıkkale,0.0,201712
Kırşehir,0.0,201712
Malatya,0.0,201712
Manisa,0.0,201712
Mardin,0.0,201712
Mersin Province,0.0,201712
Muğla Province,0.0,201712
Muş,0.0,201712
Nevşehir,0.0,201712
Niğde,0.0,201712
Ordu,0.0,201712
Osmaniye,0.0,201712
Rize,0.0,201712
Sakarya,0.0,201712
Samsun,0.0,201712
Siirt Province,0.0,201712
Sinop Province,0.0,201712
Sivas,0.0,201712
Tekirdağ,0.0,201712
Tokat,0.0,201712
Trabzon,0.0,201712
Tunceli,0.0,201712
Uşak,0.0,201712
Van,0.0,201712
Yalova Province,0.0,201712
Yozgat,0.0,201712
Zonguldak,0.0,201712
Çanakkale Province,0.0,201712
Çankırı,0.0,201712
Çorum Province,0.0,201712
İstanbul,0.8168316831683169,201712
İzmir,1.4851485148514851,201712
Şanlıurfa Province,0.0,201712
Şırnak,0.0,201712
Adana,0.0,201801
Adıyaman Province,0.0,201801
Afyonkarahisar Province,0.0,201801
Aksaray,0.0,201801
Amasya Province,0.0,201801
Ankara,1.7218543046357615,201801
Antalya,1.271523178807947,201801
Ardahan Province,0.0,201801
Artvin,0.0,201801
Aydın Province,0.0,201801
Ağrı,0.0,201801
Balıkesir Province,0.0,201801
Bartın Province,0.0,201801
Batman,0.0,201801
Bayburt,0.0,201801
Bilecik,0.0,201801
Bingöl Province,0.0,201801
Bitlis,0.0,201801
Bolu,0.0,201801
Burdur Province,0.0,201801
Bursa,2.6490066225165565,201801
Denizli,0.0,201801
Diyarbakır,0.0,201801
Düzce Province,0.0,201801
Edirne,0.0,201801
Elazığ,0.0,201801
Erzincan,0.0,201801
Erzurum,0.0,201801
Eskişehir Province,0.0,201801
Gaziantep,0.0,201801
Giresun,0.0,201801
Gümüşhane,0.0,201801
Hakkâri,0.0,201801
Hatay,0.0,201801
Isparta Province,0.0,201801
Iğdır,0.0,201801
Kahramanmaraş Province,0.0,201801
Karabük,0.0,201801
Karaman,0.0,201801
Kars,0.0,201801
Kastamonu,0.0,201801
Kayseri Province,0.0,201801
Kilis,0.0,201801
Kocaeli,0.0,201801
Konya,0.0,201801
Kütahya,0.0,201801
Kırklareli,0.0,201801
Kırıkkale,0.0,201801
Kırşehir,0.0,201801
Malatya,0.0,201801
Manisa,0.0,201801
Mardin,0.0,201801
Mersin Province,0.0,201801
Muğla Province,0.0,201801
Muş,0.0,201801
