geoName,ilaç,Period
Yalova Province,1.2980769230769231,201701
Yozgat,0.9134615384615384,201701
Zonguldak,0.9375,201701
Çanakkale Province,0.7932692307692307,201701
Çankırı,1.7548076923076923,201701
Çorum Province,1.033653846153846,201701
İstanbul,1.25,201701
İzmir,1.1778846153846154,201701
Şanlıurfa Province,0.9615384615384615,201701
Şırnak,1.3221153846153846,201701
Adana,0.96,201702
Adıyaman Province,1.0514285714285714,201702
Afyonkarahisar Province,1.0742857142857143,201702
Aksaray,0.4342857142857143,201702
Amasya Province,0.8685714285714285,201702
Ankara,0.9371428571428572,201702
Antalya,0.8914285714285715,201702
Ardahan Province,1.782857142857143,201702
Artvin,1.3257142857142856,201702
Aydın Province,1.0057142857142858,201702
Ağrı,0.96,201702
Balıkesir Province,0.8914285714285715,201702
Bartın Province,0.8457142857142858,201702
Batman,0.6628571428571428,201702
Bayburt,1.0742857142857143,201702
Bilecik,0.5257142857142857,201702
Bingöl Province,1.5771428571428572,201702
Bitlis,0.4114285714285714,201702
Bolu,0.7314285714285714,201702
Burdur Province,0.5942857142857143,201702
Bursa,0.8228571428571428,201702
Denizli,0.8914285714285715,201702
Diyarbakır,0.8228571428571428,201702
Düzce Province,0.7542857142857143,201702
Edirne,1.28,201702
Elazığ,1.0285714285714285,201702
Erzincan,1.0057142857142858,201702
Erzurum,0.5942857142857143,201702
Eskişehir Province,0.8,201702
Gaziantep,0.8228571428571428,201702
Giresun,0.5942857142857143,201702
Gümüşhane,1.417142857142857,201702
Hakkâri,2.2857142857142856,201702
Hatay,0.6628571428571428,201702
Isparta Province,0.8685714285714285,201702
Iğdır,1.3714285714285714,201702
Kahramanmaraş Province,0.8228571428571428,201702
Karabük,0.6628571428571428,201702
Karaman,0.7542857142857143,201702
Kars,0.7542857142857143,201702
Kastamonu,0.5028571428571429,201702
Kayseri Province,0.7771428571428571,201702
Kilis,0.48,201702
Kocaeli,0.8914285714285715,201702
Konya,0.9142857142857143,201702
Kütahya,0.6857142857142857,201702
Kırklareli,1.3485714285714285,201702
Kırıkkale,0.9371428571428572,201702
Kırşehir,0.7085714285714285,201702
Malatya,0.6628571428571428,201702
Manisa,0.8,201702
Mardin,0.7314285714285714,201702
Mersin Province,0.9142857142857143,201702
Muğla Province,0.6171428571428571,201702
Muş,1.2114285714285715,201702
Nevşehir,0.64,201702
Niğde,0.4114285714285714,201702
Ordu,0.96,201702
Osmaniye,0.7771428571428571,201702
Rize,0.6171428571428571,201702
Sakarya,0.7314285714285714,201702
Samsun,0.8228571428571428,201702
Siirt Province,0.6171428571428571,201702
Sinop Province,0.8457142857142858,201702
Sivas,0.5942857142857143,201702
Tekirdağ,1.0514285714285714,201702
Tokat,1.12,201702
Trabzon,0.6857142857142857,201702
Tunceli,0.0,201702
Uşak,0.8,201702
Van,0.8685714285714285,201702
Yalova Province,1.0057142857142858,201702
Yozgat,0.8,201702
Zonguldak,0.9828571428571429,201702
Çanakkale Province,0.7771428571428571,201702
Çankırı,1.3485714285714285,201702
Çorum Province,0.7771428571428571,201702
İstanbul,1.0285714285714285,201702
İzmir,0.9142857142857143,201702
Şanlıurfa Province,0.8,201702
Şırnak,1.0285714285714285,201702
Adana,1.1751412429378532,201703
Adıyaman Province,1.5819209039548023,201703
Afyonkarahisar Province,1.2881355932203389,201703
Aksaray,0.7909604519774012,201703
Amasya Province,1.4011299435028248,201703
Ankara,1.4011299435028248,201703
Antalya,1.4689265536723164,201703
Ardahan Province,1.6045197740112995,201703
Artvin,1.6271186440677967,201703
Aydın Province,1.2203389830508475,201703
Ağrı,1.1977401129943503,201703
Balıkesir Province,1.1977401129943503,201703
Bartın Province,0.4745762711864407,201703
Batman,0.9943502824858758,201703
Bayburt,1.423728813559322,201703
Bilecik,1.1751412429378532,201703
Bingöl Province,1.3785310734463276,201703
Bitlis,1.8757062146892656,201703
