geoName,vitamin,Period
Çanakkale Province,0.4444444444444444,201702
Çankırı,1.4269005847953216,201702
Çorum Province,0.39766081871345027,201702
İstanbul,0.8654970760233918,201702
İzmir,0.8421052631578947,201702
Şanlıurfa Province,0.2807017543859649,201702
Şırnak,1.263157894736842,201702
Adana,0.43564356435643564,201703
Adıyaman Province,0.31683168316831684,201703
Afyonkarahisar Province,0.5742574257425742,201703
Aksaray,0.5148514851485149,201703
Amasya Province,0.1782178217821782,201703
Ankara,0.5148514851485149,201703
Antalya,0.49504950495049505,201703
Ardahan Province,0.0,201703
Artvin,0.594059405940594,201703
Aydın Province,0.5742574257425742,201703
Ağrı,0.4158415841584158,201703
Balıkesir Province,0.33663366336633666,201703
Bartın Province,0.8514851485148515,201703
Batman,0.25742574257425743,201703
Bayburt,1.0693069306930694,201703
