geoName,mhrs,Period
Adıyaman Province,0.7210884353741497,201709
Afyonkarahisar Province,0.4489795918367347,201709
Aksaray,0.5850340136054422,201709
Amasya Province,0.8979591836734694,201709
Ankara,0.46258503401360546,201709
Antalya,0.4489795918367347,201709
Ardahan Province,0.3673469387755102,201709
Artvin,1.1700680272108843,201709
Aydın Province,0.5714285714285714,201709
Ağrı,0.29931972789115646,201709
Balıkesir Province,0.7619047619047619,201709
Bartın Province,0.7346938775510204,201709
Batman,0.21768707482993196,201709
Bayburt,0.6530612244897959,201709
Bilecik,0.6258503401360545,201709
Bingöl Province,0.4217687074829932,201709
Bitlis,0.3673469387755102,201709
Bolu,0.5850340136054422,201709
Burdur Province,0.43537414965986393,201709
Bursa,0.6938775510204082,201709
Denizli,0.5714285714285714,201709
Diyarbakır,0.20408163265306123,201709
Düzce Province,0.4897959183673469,201709
Edirne,0.7074829931972789,201709
Elazığ,0.38095238095238093,201709
Erzincan,0.5170068027210885,201709
Erzurum,0.2857142857142857,201709
Eskişehir Province,0.7210884353741497,201709
Gaziantep,0.20408163265306123,201709
Giresun,0.47619047619047616,201709
Gümüşhane,0.9523809523809523,201709
Hakkâri,0.272108843537415,201709
Hatay,0.35374149659863946,201709
Isparta Province,0.3945578231292517,201709
Iğdır,0.3945578231292517,201709
Kahramanmaraş Province,0.23129251700680273,201709
Karabük,1.1020408163265305,201709
Karaman,0.7346938775510204,201709
Kars,0.4489795918367347,201709
Kastamonu,0.6666666666666666,201709
Kayseri Province,0.3129251700680272,201709
Kilis,0.3129251700680272,201709
Kocaeli,0.7074829931972789,201709
Konya,0.7346938775510204,201709
Kütahya,1.3605442176870748,201709
Kırklareli,0.4217687074829932,201709
Kırıkkale,0.3401360544217687,201709
Kırşehir,0.35374149659863946,201709
Malatya,0.35374149659863946,201709
Manisa,0.4217687074829932,201709
Mardin,0.3673469387755102,201709
Mersin Province,0.3401360544217687,201709
Muğla Province,0.5034013605442177,201709
Muş,0.35374149659863946,201709
Nevşehir,0.38095238095238093,201709
Niğde,0.5986394557823129,201709
Ordu,0.5170068027210885,201709
Osmaniye,0.29931972789115646,201709
Rize,1.0748299319727892,201709
Sakarya,0.8571428571428571,201709
Samsun,0.7891156462585034,201709
Siirt Province,0.2857142857142857,201709
Sinop Province,0.7891156462585034,201709
Sivas,0.5850340136054422,201709
Tekirdağ,0.3945578231292517,201709
Tokat,0.4489795918367347,201709
Trabzon,0.5034013605442177,201709
Tunceli,0.47619047619047616,201709
Uşak,0.2857142857142857,201709
Van,0.43537414965986393,201709
Yalova Province,0.4217687074829932,201709
Yozgat,0.40816326530612246,201709
Zonguldak,0.4897959183673469,201709
Çanakkale Province,0.47619047619047616,201709
Çankırı,0.32653061224489793,201709
Çorum Province,0.7074829931972789,201709
İstanbul,0.7210884353741497,201709
İzmir,0.5850340136054422,201709
