geoName,grip,Period
Şanlıurfa Province,0.36144578313253006,201807
Şırnak,1.3855421686746987,201807
Adana,1.2043010752688172,201808
Adıyaman Province,0.7311827956989247,201808
Afyonkarahisar Province,1.075268817204301,201808
Aksaray,1.5483870967741935,201808
Amasya Province,0.8602150537634409,201808
Ankara,1.118279569892473,201808
Antalya,1.3333333333333333,201808
Ardahan Province,0.0,201808
Artvin,1.6774193548387097,201808
Aydın Province,0.989247311827957,201808
Ağrı,4.301075268817204,201808
Balıkesir Province,1.2473118279569892,201808
Bartın Province,0.0,201808
Batman,0.6881720430107527,201808
Bayburt,0.0,201808
Bilecik,1.5483870967741935,201808
Bingöl Province,0.0,201808
Bitlis,2.021505376344086,201808
Bolu,0.7741935483870968,201808
Burdur Province,1.3763440860215055,201808
Bursa,0.989247311827957,201808
Denizli,1.5913978494623655,201808
Diyarbakır,0.34408602150537637,201808
Düzce Province,0.989247311827957,201808
Edirne,1.5483870967741935,201808
Elazığ,1.2473118279569892,201808
Erzincan,0.0,201808
Erzurum,0.3870967741935484,201808
Eskişehir Province,1.2473118279569892,201808
Gaziantep,0.9032258064516129,201808
Giresun,1.032258064516129,201808
Gümüşhane,0.0,201808
Hakkâri,2.5376344086021505,201808
Hatay,1.5053763440860215,201808
Isparta Province,2.4086021505376345,201808
Iğdır,2.5376344086021505,201808
Kahramanmaraş Province,0.7741935483870968,201808
Karabük,1.3333333333333333,201808
Karaman,0.0,201808
Kars,1.6774193548387097,201808
Kastamonu,1.935483870967742,201808
Kayseri Province,0.8172043010752689,201808
Kilis,2.838709677419355,201808
Kocaeli,1.2473118279569892,201808
Konya,1.2473118279569892,201808
Kütahya,1.8494623655913978,201808
Kırklareli,0.6451612903225806,201808
Kırıkkale,1.89247311827957,201808
Kırşehir,2.3225806451612905,201808
Malatya,0.8602150537634409,201808
Manisa,0.7741935483870968,201808
Mardin,0.9032258064516129,201808
Mersin Province,1.4193548387096775,201808
Muğla Province,0.989247311827957,201808
Muş,0.0,201808
Nevşehir,0.8172043010752689,201808
Niğde,0.946236559139785,201808
Ordu,1.118279569892473,201808
Osmaniye,2.10752688172043,201808
Rize,1.032258064516129,201808
Sakarya,1.4193548387096775,201808
Samsun,0.989247311827957,201808
Siirt Province,2.021505376344086,201808
Sinop Province,0.0,201808
Sivas,0.3870967741935484,201808
Tekirdağ,0.6451612903225806,201808
Tokat,1.7204301075268817,201808
Trabzon,1.5053763440860215,201808
Tunceli,0.0,201808
Uşak,1.4193548387096775,201808
Van,0.4731182795698925,201808
Yalova Province,0.6451612903225806,201808
Yozgat,2.10752688172043,201808
Zonguldak,0.6451612903225806,201808
Çanakkale Province,1.2903225806451613,201808
Çankırı,3.3548387096774195,201808
Çorum Province,1.7634408602150538,201808
İstanbul,1.032258064516129,201808
İzmir,0.989247311827957,201808
Şanlıurfa Province,0.21505376344086022,201808
Şırnak,2.4946236559139785,201808
Adana,0.6808510638297872,201809
Adıyaman Province,0.723404255319149,201809
Afyonkarahisar Province,0.7659574468085106,201809
Aksaray,0.851063829787234,201809
Amasya Province,0.8723404255319149,201809
Ankara,0.723404255319149,201809
Antalya,0.6382978723404256,201809
Ardahan Province,2.127659574468085,201809
Artvin,1.148936170212766,201809
Aydın Province,0.6170212765957447,201809
Ağrı,0.8085106382978723,201809
Balıkesir Province,0.6808510638297872,201809
Bartın Province,1.2340425531914894,201809
Batman,1.0425531914893618,201809
Bayburt,1.7872340425531914,201809
Bilecik,0.574468085106383,201809
Bingöl Province,1.2127659574468086,201809
Bitlis,1.7446808510638299,201809
Bolu,0.7872340425531915,201809
Burdur Province,0.5957446808510638,201809
Bursa,0.851063829787234,201809
Denizli,0.8085106382978723,201809
Diyarbakır,0.5531914893617021,201809
Düzce Province,0.9787234042553191,201809
Edirne,0.5957446808510638,201809
Elazığ,0.6595744680851063,201809
Erzincan,0.5319148936170213,201809
Erzurum,0.7446808510638298,201809
Eskişehir Province,0.5957446808510638,201809
Gaziantep,0.723404255319149,201809
Giresun,0.5957446808510638,201809
Gümüşhane,0.0,201809
Hakkâri,0.0,201809
Hatay,0.8723404255319149,201809
