geoName,hastane,Period
Şanlıurfa Province,0.6309148264984227,201701
Şırnak,0.9621451104100947,201701
Adana,0.6346863468634686,201702
Adıyaman Province,0.6937269372693727,201702
Afyonkarahisar Province,1.121771217712177,201702
Aksaray,0.8118081180811808,201702
Amasya Province,0.5313653136531366,201702
Ankara,0.7527675276752768,201702
Antalya,0.8265682656826568,201702
Ardahan Province,0.7675276752767528,201702
Artvin,0.5756457564575646,201702
Aydın Province,0.7232472324723247,201702
Ağrı,0.7380073800738007,201702
Balıkesir Province,1.003690036900369,201702
Bartın Province,0.7970479704797048,201702
Batman,0.47232472324723246,201702
Bayburt,1.2250922509225093,201702
Bilecik,0.988929889298893,201702
Bingöl Province,1.2250922509225093,201702
Bitlis,0.9298892988929889,201702
Bolu,0.7084870848708487,201702
Burdur Province,0.7970479704797048,201702
Bursa,0.6937269372693727,201702
Denizli,0.7232472324723247,201702
Diyarbakır,0.5018450184501845,201702
Düzce Province,0.6494464944649446,201702
Edirne,0.7527675276752768,201702
Elazığ,0.5756457564575646,201702
Erzincan,0.6937269372693727,201702
Erzurum,0.44280442804428044,201702
Eskişehir Province,0.7084870848708487,201702
Gaziantep,0.5904059040590406,201702
Giresun,0.6494464944649446,201702
Gümüşhane,0.6789667896678967,201702
Hakkâri,0.6494464944649446,201702
Hatay,0.47232472324723246,201702
Isparta Province,1.4760147601476015,201702
Iğdır,0.6642066420664207,201702
Kahramanmaraş Province,0.7084870848708487,201702
Karabük,0.8413284132841329,201702
Karaman,0.5018450184501845,201702
Kars,0.8413284132841329,201702
Kastamonu,0.9298892988929889,201702
Kayseri Province,0.6494464944649446,201702
Kilis,0.8413284132841329,201702
Kocaeli,0.9446494464944649,201702
Konya,0.5608856088560885,201702
Kütahya,1.2841328413284132,201702
Kırklareli,0.9003690036900369,201702
Kırıkkale,0.988929889298893,201702
Kırşehir,0.6346863468634686,201702
Malatya,0.5461254612546126,201702
Manisa,0.7232472324723247,201702
Mardin,0.5166051660516605,201702
Mersin Province,0.8265682656826568,201702
Muğla Province,0.7380073800738007,201702
Muş,0.8708487084870848,201702
Nevşehir,0.35424354243542433,201702
Niğde,0.6051660516605166,201702
Ordu,0.6346863468634686,201702
Osmaniye,0.5756457564575646,201702
Rize,0.9446494464944649,201702
Sakarya,0.8118081180811808,201702
Samsun,0.7380073800738007,201702
Siirt Province,0.6346863468634686,201702
Sinop Province,0.4870848708487085,201702
Sivas,0.6642066420664207,201702
Tekirdağ,0.988929889298893,201702
Tokat,0.7675276752767528,201702
Trabzon,0.6494464944649446,201702
Tunceli,0.8265682656826568,201702
Uşak,0.5904059040590406,201702
Van,0.6051660516605166,201702
Yalova Province,0.6346863468634686,201702
Yozgat,1.0774907749077491,201702
Zonguldak,0.7970479704797048,201702
Çanakkale Province,0.9446494464944649,201702
Çankırı,0.6494464944649446,201702
Çorum Province,0.6937269372693727,201702
İstanbul,0.7527675276752768,201702
İzmir,0.8560885608856088,201702
Şanlıurfa Province,0.5904059040590406,201702
Şırnak,0.6789667896678967,201702
Adana,0.5671641791044776,201703
Adıyaman Province,0.5970149253731343,201703
Afyonkarahisar Province,1.4477611940298507,201703
Aksaray,0.9552238805970149,201703
Amasya Province,0.835820895522388,201703
Ankara,0.7611940298507462,201703
Antalya,0.835820895522388,201703
Ardahan Province,0.0,201703
Artvin,0.746268656716418,201703
Aydın Province,0.7313432835820896,201703
Ağrı,0.6567164179104478,201703
Balıkesir Province,0.8208955223880597,201703
