,Location,Date,polarity
192,"Antalya,Turkey",2019-04-08 18:08:47+00:00,1.0
193,"Antalya,Turkey",2019-04-15 16:41:23+00:00,-1.0
194,"Antalya,Turkey",2019-04-15 19:39:26+00:00,-1.0
195,"Antalya,Turkey",2019-04-21 05:41:25+00:00,-1.0
196,"Antalya,Turkey",2019-05-21 13:25:36+00:00,0.0
197,"Antalya,Turkey",2019-06-03 10:51:33+00:00,3.0
198,"Antalya,Turkey",2019-06-07 11:16:15+00:00,0.0
199,"Antalya,Turkey",2019-07-05 09:15:51+00:00,3.0
200,"Antalya,Turkey",2019-07-22 05:42:39+00:00,1.0
201,"Antalya,Turkey",2019-07-27 11:28:02+00:00,2.0
202,"Antalya,Turkey",2019-09-21 09:15:47+00:00,-2.0
203,"Antalya,Turkey",2019-09-27 20:42:47+00:00,-2.0
204,"Antalya,Turkey",2019-10-01 17:46:59+00:00,-1.0
205,"Antalya,Turkey",2019-11-28 11:10:34+00:00,3.0
206,"Antalya,Turkey",2019-11-28 11:10:35+00:00,0.0
207,"Antalya,Turkey",2019-12-04 19:10:50+00:00,-1.0
208,"Antalya,Turkey",2019-12-06 06:21:33+00:00,1.0
209,"Antalya,Turkey",2019-12-13 04:57:45+00:00,0.0
210,"Antalya,Turkey",2020-01-07 07:11:05+00:00,4.0
211,"Antalya,Turkey",2020-02-09 08:09:10+00:00,0.0
212,"Antalya,Turkey",2020-02-25 14:07:36+00:00,1.0
213,"Antalya,Turkey",2020-02-25 14:23:48+00:00,1.0
214,"Antalya,Turkey",2020-03-12 08:15:39+00:00,1.0
215,"Antalya,Turkey",2020-03-12 08:59:43+00:00,1.0
216,"Antalya,Turkey",2020-03-12 20:01:46+00:00,1.0
217,"Antalya,Turkey",2020-03-13 13:36:56+00:00,-3.0
218,"Antalya,Turkey",2020-03-15 20:22:41+00:00,1.0
219,"Antalya,Turkey",2020-03-17 13:08:54+00:00,-1.0
220,"Antalya,Turkey",2020-03-17 13:55:53+00:00,0.0
221,"Antalya,Turkey",2020-03-19 07:14:11+00:00,-1.0
222,"Antalya,Turkey",2020-03-19 12:40:32+00:00,0.0
223,"Antalya,Turkey",2020-03-19 16:13:30+00:00,-2.0
224,"Antalya,Turkey",2020-03-20 16:27:09+00:00,0.0
225,"Antalya,Turkey",2020-03-30 15:15:42+00:00,0.0
226,"Ardahan,Turkey",2020-03-31 23:47:08+00:00,1.0
227,"Ardahan,Turkey",2020-03-31 23:47:21+00:00,-1.0
228,"Ardahan,Turkey",2020-03-31 23:47:41+00:00,-1.0
229,"Ardahan,Turkey",2020-03-31 23:47:50+00:00,-3.0
230,"Ardahan,Turkey",2020-03-31 23:48:20+00:00,-1.0
231,"Ardahan,Turkey",2020-03-31 23:48:32+00:00,1.0
232,"Ardahan,Turkey",2020-03-31 23:48:47+00:00,-1.0
233,"Ardahan,Turkey",2020-03-31 23:49:12+00:00,-1.0
234,"Ardahan,Turkey",2020-03-31 23:49:21+00:00,0.0
235,"Ardahan,Turkey",2020-03-31 23:49:23+00:00,1.0
236,"Ardahan,Turkey",2020-03-31 23:50:11+00:00,-1.0
237,"Ardahan,Turkey",2020-03-31 23:50:12+00:00,2.0
238,"Ardahan,Turkey",2020-03-31 23:50:33+00:00,1.0
239,"Ardahan,Turkey",2020-03-31 23:51:17+00:00,1.0
240,"Ardahan,Turkey",2020-03-31 23:51:21+00:00,-1.0
241,"Ardahan,Turkey",2020-03-31 23:51:38+00:00,-1.0
242,"Ardahan,Turkey",2020-03-31 23:52:01+00:00,-1.5
243,"Ardahan,Turkey",2020-03-31 23:52:08+00:00,-1.0
244,"Ardahan,Turkey",2020-03-31 23:53:13+00:00,-1.0
245,"Ardahan,Turkey",2020-03-31 23:53:21+00:00,-1.0
246,"Ardahan,Turkey",2020-03-31 23:53:36+00:00,0.0
247,"Ardahan,Turkey",2020-03-31 23:53:55+00:00,0.0
248,"Ardahan,Turkey",2020-03-31 23:53:58+00:00,1.0
249,"Ardahan,Turkey",2020-03-31 23:54:26+00:00,1.0
250,"Ardahan,Turkey",2020-03-31 23:54:30+00:00,1.0
251,"Ardahan,Turkey",2020-03-31 23:54:54+00:00,1.0
252,"Ardahan,Turkey",2020-03-31 23:55:11+00:00,-1.0
253,"Ardahan,Turkey",2020-03-31 23:55:27+00:00,-1.0
254,"Ardahan,Turkey",2020-03-31 23:56:21+00:00,-1.0
255,"Ardahan,Turkey",2020-03-31 23:56:22+00:00,-4.0
256,"Ardahan,Turkey",2020-03-31 23:56:23+00:00,1.0
257,"Ardahan,Turkey",2020-03-31 23:56:39+00:00,-1.0
258,"Ardahan,Turkey",2020-03-31 23:56:59+00:00,-1.0
259,"Ardahan,Turkey",2020-03-31 23:57:10+00:00,1.5
260,"Ardahan,Turkey",2020-03-31 23:57:42+00:00,0.0
261,"Ardahan,Turkey",2020-03-31 23:57:45+00:00,-1.0
262,"Ardahan,Turkey",2020-03-31 23:58:06+00:00,-3.0
263,"Ardahan,Turkey",2020-03-31 23:58:22+00:00,-1.0
264,"Ardahan,Turkey",2020-03-31 23:58:36+00:00,0.0
265,"Ardahan,Turkey",2020-03-31 23:58:48+00:00,1.0
266,"Ardahan,Turkey",2020-03-31 23:59:09+00:00,-2.0
267,"Ardahan,Turkey",2020-03-31 23:59:46+00:00,0.0
268,"Artvin,Turkey",2020-03-31 23:47:08+00:00,1.0
269,"Artvin,Turkey",2020-03-31 23:47:21+00:00,-1.0
270,"Artvin,Turkey",2020-03-31 23:47:41+00:00,-1.0
271,"Artvin,Turkey",2020-03-31 23:47:50+00:00,-3.0
272,"Artvin,Turkey",2020-03-31 23:48:20+00:00,-1.0
273,"Artvin,Turkey",2020-03-31 23:48:32+00:00,1.0
274,"Artvin,Turkey",2020-03-31 23:48:47+00:00,-1.0
275,"Artvin,Turkey",2020-03-31 23:49:12+00:00,-1.0
276,"Artvin,Turkey",2020-03-31 23:49:21+00:00,0.0
277,"Artvin,Turkey",2020-03-31 23:49:23+00:00,1.0
278,"Artvin,Turkey",2020-03-31 23:50:11+00:00,-1.0
279,"Artvin,Turkey",2020-03-31 23:50:12+00:00,2.0
280,"Artvin,Turkey",2020-03-31 23:50:33+00:00,1.0
281,"Artvin,Turkey",2020-03-31 23:51:17+00:00,1.0
282,"Artvin,Turkey",2020-03-31 23:51:21+00:00,-1.0
283,"Artvin,Turkey",2020-03-31 23:51:38+00:00,-1.0
284,"Artvin,Turkey",2020-03-31 23:52:01+00:00,-1.5
285,"Artvin,Turkey",2020-03-31 23:52:08+00:00,-1.0
286,"Artvin,Turkey",2020-03-31 23:53:13+00:00,-1.0
287,"Artvin,Turkey",2020-03-31 23:53:21+00:00,-1.0
288,"Artvin,Turkey",2020-03-31 23:53:36+00:00,0.0
289,"Artvin,Turkey",2020-03-31 23:53:55+00:00,0.0
290,"Artvin,Turkey",2020-03-31 23:53:58+00:00,1.0
291,"Artvin,Turkey",2020-03-31 23:54:26+00:00,1.0
292,"Artvin,Turkey",2020-03-31 23:54:30+00:00,1.0
293,"Artvin,Turkey",2020-03-31 23:54:54+00:00,1.0
294,"Artvin,Turkey",2020-03-31 23:55:11+00:00,-1.0
295,"Artvin,Turkey",2020-03-31 23:55:27+00:00,-1.0
296,"Artvin,Turkey",2020-03-31 23:56:21+00:00,-1.0
297,"Artvin,Turkey",2020-03-31 23:56:22+00:00,-4.0
298,"Artvin,Turkey",2020-03-31 23:56:23+00:00,1.0
299,"Artvin,Turkey",2020-03-31 23:56:39+00:00,-1.0
300,"Artvin,Turkey",2020-03-31 23:56:59+00:00,-1.0
301,"Artvin,Turkey",2020-03-31 23:57:10+00:00,1.5
302,"Artvin,Turkey",2020-03-31 23:57:42+00:00,0.0
303,"Artvin,Turkey",2020-03-31 23:57:45+00:00,-1.0
304,"Artvin,Turkey",2020-03-31 23:58:06+00:00,-3.0
305,"Artvin,Turkey",2020-03-31 23:58:22+00:00,-1.0
306,"Artvin,Turkey",2020-03-31 23:58:36+00:00,0.0
307,"Artvin,Turkey",2020-03-31 23:58:48+00:00,1.0
308,"Artvin,Turkey",2020-03-31 23:59:09+00:00,-2.0
309,"Artvin,Turkey",2020-03-31 23:59:46+00:00,0.0
310,"Aydın,Turkey",2017-05-18 18:27:52+00:00,3.0
311,"Aydın,Turkey",2018-01-06 18:28:02+00:00,2.0
312,"Aydın,Turkey",2018-12-25 09:13:38+00:00,-1.0
313,"Aydın,Turkey",2019-03-05 13:53:43+00:00,0.0
