||Erkek ve 0-4|Erkek ve 10-14|Erkek ve 15-19|Erkek ve 20-24|Erkek ve 25-29|Erkek ve 30-34|Erkek ve 35-39|Erkek ve 40-44|Erkek ve 45-49|Erkek ve 50-54|Erkek ve 55-59|Erkek ve 5-9|Erkek ve 60-64|Erkek ve 65-69|Erkek ve 70-74|Erkek ve 75-79|Erkek ve 80-84|Erkek ve 85-89|Erkek ve 90+|Kadın ve 0-4|Kadın ve 10-14|Kadın ve 15-19|Kadın ve 20-24|Kadın ve 25-29|Kadın ve 30-34|Kadın ve 35-39|Kadın ve 40-44|Kadın ve 45-49|Kadın ve 50-54|Kadın ve 55-59|Kadın ve 5-9|Kadın ve 60-64|Kadın ve 65-69|Kadın ve 70-74|Kadın ve 75-79|Kadın ve 80-84|Kadın ve 85-89|Kadın ve 90+|
|Eskişehir-26|26665.0|26358.0|30831.0|38267.0|34027.0|33709.0|34437.0|31780.0|29777.0|28279.0|25952.0|26774.0|21274.0|15887.0|10602.0|7449.0|4523.0|1922.0|565.0|25245.0|25274.0|29189.0|35130.0|31635.0|31966.0|34191.0|32759.0|30613.0|29154.0|26874.0|24778.0|22230.0|17901.0|13064.0|10323.0|6706.0|3376.0|1134.0|
|Gaziantep-27|119136.0|103948.0|98247.0|80453.0|79836.0|80056.0|77193.0|63861.0|50608.0|43915.0|32222.0|112560.0|25394.0|18871.0|12388.0|7810.0|4047.0|1976.0|471.0|114172.0|99367.0|92536.0|82882.0|79482.0|76704.0|72788.0|60496.0|46952.0|41997.0|32395.0|108296.0|25932.0|20591.0|14784.0|10945.0|6665.0|3671.0|1868.0|
|Giresun-28|11963.0|13664.0|16820.0|17384.0|14290.0|14104.0|14640.0|14254.0|13975.0|15656.0|15139.0|12779.0|14062.0|9962.0|6160.0|5686.0|4217.0|2071.0|425.0|11216.0|13151.0|16332.0|17269.0|13542.0|13153.0|14518.0|13575.0|13434.0|14952.0|14339.0|12116.0|14330.0|10591.0|8383.0|7807.0|5602.0|4240.0|1592.0|
|Gümüşhane-29|5299.0|5953.0|7707.0|10158.0|7250.0|6283.0|5977.0|5514.0|5252.0|5519.0|4283.0|5530.0|3780.0|2601.0|1816.0|1439.0|1059.0|557.0|120.0|5205.0|5539.0|7772.0|10504.0|6571.0|5373.0|5303.0|5155.0|4791.0|4846.0|3873.0|5270.0|3845.0|2875.0|2400.0|1907.0|1274.0|1035.0|538.0|
|Hakkari-30|13875.0|15718.0|15525.0|26386.0|18867.0|10111.0|9872.0|6404.0|4767.0|4388.0|2939.0|13775.0|2091.0|1501.0|971.0|668.0|366.0|174.0|92.0|13366.0|15235.0|15173.0|13589.0|12424.0|9022.0|10002.0|6230.0|4100.0|4154.0|3062.0|13058.0|2638.0|1935.0|1188.0|759.0|588.0|436.0|312.0|
|Hatay-31|78013.0|74350.0|70748.0|58342.0|53389.0|57389.0|59757.0|53619.0|47459.0|44862.0|35950.0|77089.0|29413.0|20152.0|11622.0|7916.0|6441.0|2957.0|741.0|73623.0|71440.0|66104.0|56020.0|54648.0|59040.0|61173.0|54123.0|46823.0|44543.0|36079.0|72765.0|30119.0|21237.0|13836.0|9761.0|7698.0|4213.0|1772.0|
|Iğdır-76|10842.0|9810.0|10449.0|10048.0|8219.0|7241.0|7205.0|5705.0|4760.0|4033.0|3484.0|10189.0|2932.0|2005.0|1524.0|801.0|621.0|309.0|91.0|10180.0|9310.0|9652.0|8450.0|7454.0|6634.0|6618.0|5257.0|4156.0|3997.0|3336.0|9556.0|3230.0|2352.0|1657.0|1056.0|788.0|550.0|274.0|
|Isparta-32|13596.0|14468.0|17034.0|24064.0|15591.0|15247.0|15786.0|14932.0|13775.0|13178.0|12733.0|14076.0|11204.0|8609.0|5474.0|4224.0|2722.0|1493.0|411.0|12596.0|13515.0|17154.0|17837.0|13771.0|14452.0|15836.0|14686.0|14176.0|13561.0|13244.0|13384.0|12109.0|9431.0|7038.0|5386.0|3725.0|2514.0|798.0|
|İstanbul-34|595555.0|545785.0|571017.0|585796.0|644630.0|688645.0|719284.0|615044.0|522234.0|442422.0|346440.0|567008.0|263109.0|176777.0|110176.0|68698.0|41260.0|19244.0|6367.0|564537.0|514709.0|534535.0|587131.0|642682.0|678364.0|705934.0|603237.0|504084.0|434991.0|345236.0|536845.0|280112.0|202308.0|137977.0|100300.0|66533.0|41191.0|19034.0|
|İzmir-35|141282.0|134743.0|144400.0|160971.0|164830.0|171934.0|185188.0|167985.0|150099.0|140418.0|127403.0|139015.0|107144.0|79177.0|53215.0|33572.0|20044.0|9193.0|2935.0|134382.0|127106.0|134673.0|149553.0|157347.0|168363.0|184884.0|168336.0|152500.0|142736.0|129068.0|131962.0|112430.0|87918.0|62404.0|45048.0|31617.0|18158.0|7644.0|
