Period,Province,Product,Quantity,Month,Year
201701,KASTAMONU,PRODUCT_V,0,1,2017
201701,KASTAMONU,PRODUCT_X,25,1,2017
201701,KAYSERİ,PRODUCT_A,104,1,2017
201701,KAYSERİ,PRODUCT_B,2801,1,2017
201701,KAYSERİ,PRODUCT_C,1062,1,2017
201701,KAYSERİ,PRODUCT_V,9,1,2017
201701,KAYSERİ,PRODUCT_X,365,1,2017
201701,KIRIKKALE,PRODUCT_A,5,1,2017
201701,KIRIKKALE,PRODUCT_B,31,1,2017
201701,KIRIKKALE,PRODUCT_C,139,1,2017
201701,KIRIKKALE,PRODUCT_V,0,1,2017
201701,KIRIKKALE,PRODUCT_X,122,1,2017
201701,KIRKLARELİ,PRODUCT_A,27,1,2017
201701,KIRKLARELİ,PRODUCT_B,343,1,2017
201701,KIRKLARELİ,PRODUCT_C,150,1,2017
201701,KIRKLARELİ,PRODUCT_V,8,1,2017
201701,KIRKLARELİ,PRODUCT_X,100,1,2017
201701,KIRŞEHİR,PRODUCT_A,21,1,2017
201701,KIRŞEHİR,PRODUCT_B,483,1,2017
201701,KIRŞEHİR,PRODUCT_C,127,1,2017
201701,KIRŞEHİR,PRODUCT_V,0,1,2017
201701,KIRŞEHİR,PRODUCT_X,54,1,2017
201701,KOCAELİ,PRODUCT_A,275,1,2017
201701,KOCAELİ,PRODUCT_B,2686,1,2017
201701,KOCAELİ,PRODUCT_C,965,1,2017
201701,KOCAELİ,PRODUCT_V,14,1,2017
201701,KOCAELİ,PRODUCT_X,305,1,2017
201701,KONYA,PRODUCT_A,239,1,2017
201701,KONYA,PRODUCT_B,4359,1,2017
201701,KONYA,PRODUCT_C,1512,1,2017
201701,KONYA,PRODUCT_V,2,1,2017
201701,KONYA,PRODUCT_X,523,1,2017
201701,KÜTAHYA,PRODUCT_A,31,1,2017
201701,KÜTAHYA,PRODUCT_B,625,1,2017
201701,KÜTAHYA,PRODUCT_C,244,1,2017
201701,KÜTAHYA,PRODUCT_V,3,1,2017
201701,KÜTAHYA,PRODUCT_X,114,1,2017
201701,KİLİS,PRODUCT_A,11,1,2017
201701,KİLİS,PRODUCT_B,1405,1,2017
201701,KİLİS,PRODUCT_C,26,1,2017
201701,KİLİS,PRODUCT_V,0,1,2017
201701,KİLİS,PRODUCT_X,27,1,2017
201701,MALATYA,PRODUCT_A,52,1,2017
201701,MALATYA,PRODUCT_B,963,1,2017
201701,MALATYA,PRODUCT_C,291,1,2017
201701,MALATYA,PRODUCT_V,5,1,2017
